Model,MAE,RMSE,MAPE,R2
AR(2),0.0209779314610579,0.0342279583246617,8.658092682082463,0.0840255705319686
MA(3),0.0208944539779464,0.0334803982614646,8.723691175149002,0.1235995501488431
"ARMA(2,3)",0.020579795638831,0.0315776104491396,8.604954130880426,0.2203855382654628
SARIMA,0.0229596938471304,0.0347900718028664,9.547532215506068,0.0536930905615954
SARIMAX,0.0251913686458008,0.0398773968447548,10.383840840139936,-0.2432972168312381
Random Forest,0.0275371675899425,0.0376598547893763,11.704938667699116,-0.1088649168746125
XGBoost,0.0230464313350846,0.0323063130558041,10.059716030787609,0.1839887330084649
LSTM,0.0198476924751083,0.0298093064181522,8.395801742753982,0.3056539687548999
SVR,0.0208078549806778,0.0313647453358777,8.770549851616028,0.2308608955544253
GRU,0.0201749154884688,0.0300670611476726,8.600351201953565,0.2935943298677643
Naive (Baseline),0.0210678359793433,0.0345399038735168,8.679466301176472,0.0672535387173466
SMA (Window=10),0.022900054395585,0.0325501834383047,9.619890659054253,0.1716226002381941
Quantile Regression (Median),0.02223726030035955,,,
